Column1,Column2,Column3
その失敗のせいで彼は仕事を失った,That mistake cost him his job.,16
事故のせいで彼は命を失うところだった。,The car accident almost cost him his life.,16
君たちが試験に合格する人は随分努力が必要だった(toから）,To pass the exam cost you much effort.,16
君たちが試験に合格する人は随分努力が必要だった(itから）,It cost you much effort to pass the exam.,16
ヘルメットを被っていたおかげで病院にいかなくてすんだ。,My helmet saved me a trip to the hospital.,16
君が手伝ってくれてとても手間が省けたよ,You help me saved me a lot of work.,16
ちょっと考えれば自分の間違いに気づくはずだ。,A moment's thought will tell you that you are wrong.,16
彼女がゲームを楽しんでいることは顔つきからわかる,The look on her fae suggests that she is enjoying the game.,16
今日の新聞に大統領はタイを訪問する予定だと書いてあった。,Today's newspaper said that the president would visit the thailand.,16
休みを取るのは君のためになるはずだ。,It will do you good to have a vacation.,16
この道を行けば学校につきますよ。,This street will take you to the school.,16
10分あるくと学校につくよ。,Ten minutes' walk take you to the school.,16
なぜ君はここまで来たの。,What has brought you here?,16
失敗のため彼女はその仕事を辞めるきになった。,Her failures led her to quit the job.,16
彼は交通事故によって視力を奪われた。,The traffic accident deprived him of his sight.,16
大雨のせいで私は家に戻れなかった。,The heacy rain prevented me from going home.,16
彼は何があってもジェーン(Jane)と結婚するだろう。,Nothing will stop him from marrying Jane.,16
その台風のせいで飛行機は離陸することができなかった。,The typhoon kept the airplane from taking off.,16
この写真を見るとビルを思い出します。,This picture reminds me of Bill.,16
ボランティアの仕事があるので私はとても忙しい,My volunteer work keeps me very busy.,16
その面白い小説が原因で私は一晩中起きていた,The interesting novel ept me awake all night.,16
事故のニュースを聞いてかれは不安になった。,The news of the accident left him uneasy.,16
その失敗が彼を絶望に追いやった,The failure drove him to despair.,16
ぐっすり眠れば気分が良くなります。,A good night's sleep will set you right.,16
この薬を飲めば気分が良くなるだろう,This medicine will make you feel better.,16
祖母の遺産で太郎はその家を買うことができた,Money from his aunt allowed taro to buy the house.,16
彼は彼らがすぐ行動すべきであり、それが最善の解決策だと信じている,He thinks the should act soon and that it's the best solution.,16
民主主義とは人民の人民による人民のための政治のことだ。,"Democracy is the government of the people,by the people,and for the people.",16
政府はそこを観光とビジネスのセンターにするつもりだ。,The government wants to turn it into a tourism and business center.,16
